ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
COPERNICUS/S2_SR_HARMONIZED/20201002T104759_20201002T105843_T31TCH,2020-10-02,2020-10-02,SENTINEL_2,99.96,0.21,0.21,0.21,0.21,0.21,,,0,2020_10_02-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20201003,2020-10-03,2020-10-03,LANDSAT_8,0.21,0.21,0.21,0.21,0.21,0.21,,,0,2020_10_03-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20201004T104031_20201004T104441_T31TCH,2020-10-04,2020-10-04,SENTINEL_2,99.74,0.21,0.21,0.21,0.21,0.21,,,0,2020_10_04-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201007T105031_20201007T105449_T31TCH,2020-10-07,2020-10-07,SENTINEL_2,74.55,45.00,22.25,19.21,13.45,0.00,2343.00,2343.00,3,2020_10_07-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201009T103849_20201009T104516_T31TCH,2020-10-09,2020-10-09,SENTINEL_2,56.16,8.09,2.31,0.77,0.77,0.77,1959.00,,0,2020_10_09-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201012T104909_20201012T105819_T31TCH,2020-10-12,2020-10-12,SENTINEL_2,14.24,8.20,1.95,0.59,0.59,0.59,1895.00,,0,2020_10_12-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201014T104031_20201014T104437_T31TCH,2020-10-14,2020-10-14,SENTINEL_2,95.32,0.00,0.00,0.00,0.00,0.00,,,0,2020_10_14-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201017T105041_20201017T105446_T31TCH,2020-10-17,2020-10-17,SENTINEL_2,1.20,0.00,0.00,0.00,0.00,0.00,,,0,2020_10_17-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20201019,2020-10-19,2020-10-19,LANDSAT_8,26.06,0.00,0.00,0.00,0.00,0.00,,,0,2020_10_19-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20201019T103959_20201019T104121_T31TCH,2020-10-19,2020-10-19,SENTINEL_2,24.41,0.00,0.00,0.00,0.00,0.00,,,0,2020_10_19-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201024T104121_20201024T104715_T31TCH,2020-10-24,2020-10-24,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_10_24-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201027T105141_20201027T105447_T31TCH,2020-10-27,2020-10-27,SENTINEL_2,98.23,0.00,0.00,0.00,0.00,0.00,,,0,2020_10_27-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201029T104149_20201029T104148_T31TCH,2020-10-29,2020-10-29,SENTINEL_2,53.49,0.00,0.00,0.00,0.00,0.00,,,0,2020_10_29-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201101T105209_20201101T105209_T31TCH,2020-11-01,2020-11-01,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_01-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201103T104221_20201103T104440_T31TCH,2020-11-03,2020-11-03,SENTINEL_2,99.87,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_03-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201106T105241_20201106T105446_T31TCH,2020-11-06,2020-11-06,SENTINEL_2,100.00,42.95,30.68,26.65,23.61,0.23,2375.00,2359.00,5,2020_11_06-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201108T104249_20201108T104243_T31TCH,2020-11-08,2020-11-08,SENTINEL_2,42.95,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_08-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201111T105259_20201111T105301_T31TCH,2020-11-11,2020-11-11,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_11-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201113T104311_20201113T104440_T31TCH,2020-11-13,2020-11-13,SENTINEL_2,82.82,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_13-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201116T105331_20201116T105445_T31TCH,2020-11-16,2020-11-16,SENTINEL_2,3.10,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_16-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201118T104329_20201118T104329_T31TCH,2020-11-18,2020-11-18,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_18-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20201120,2020-11-20,2020-11-20,LANDSAT_8,18.66,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_20-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20201121T105349_20201121T105442_T31TCH,2020-11-21,2020-11-21,SENTINEL_2,2.04,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_21-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201123T104351_20201123T104856_T31TCH,2020-11-23,2020-11-23,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_23-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201126T105401_20201126T105443_T31TCH,2020-11-26,2020-11-26,SENTINEL_2,98.06,0.00,0.00,0.00,0.00,0.00,,,0,2020_11_26-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201128T104409_20201128T104405_T31TCH,2020-11-28,2020-11-28,SENTINEL_2,100.00,98.06,82.27,75.96,66.29,3.55,2283.00,2315.00,5,2020_11_28-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201201T105419_20201201T105442_T31TCH,2020-12-01,2020-12-01,SENTINEL_2,100.00,55.28,51.46,48.62,47.98,2.31,1683.00,1699.00,5,2020_12_01-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20201203T104421_20201203T104436_T31TCH,2020-12-03,2020-12-03,SENTINEL_2,55.28,14.65,3.88,3.11,2.77,0.32,1771.00,1771.00,5,2020_12_03-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20201206,2020-12-06,2020-12-06,LANDSAT_8,27.39,20.62,3.86,2.99,2.81,0.13,1719.00,1719.00,2,2020_12_06-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20201206T105431_20201206T105440_T31TCH,2020-12-06,2020-12-06,SENTINEL_2,82.60,20.64,3.61,2.82,2.68,0.95,1719.00,1719.00,1,2020_12_06-Sentinel2
