ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20221001,2022-10-01,2022-10-01,LANDSAT_9,12.58,0.00,0.00,0.00,0.00,0.00,,,0,2022_10_01-Landsat9
COPERNICUS/S2_SR_HARMONIZED/20221002T104759_20221002T105506_T31TCH,2022-10-02,2022-10-02,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2022_10_02-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221004T103911_20221004T104737_T31TCH,2022-10-04,2022-10-04,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2022_10_04-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221007T104931_20221007T105210_T31TCH,2022-10-07,2022-10-07,SENTINEL_2,79.11,9.04,1.07,0.64,0.64,0.64,2263.00,,0,2022_10_07-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221009T103839_20221009T103953_T31TCH,2022-10-09,2022-10-09,SENTINEL_2,16.81,9.04,1.07,0.64,0.64,0.64,2247.00,,0,2022_10_09-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20221009,2022-10-09,2022-10-09,LANDSAT_8,13.70,9.04,1.27,0.73,0.73,0.73,1607.00,,0,2022_10_09-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20221012T104909_20221012T105410_T31TCH,2022-10-12,2022-10-12,SENTINEL_2,8.81,1.11,0.00,0.00,0.00,0.00,,,0,2022_10_12-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221014T104011_20221014T104831_T31TCH,2022-10-14,2022-10-14,SENTINEL_2,65.10,3.15,0.23,0.23,0.23,0.23,,,0,2022_10_14-Sentinel2
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20221017,2022-10-17,2022-10-17,LANDSAT_9,52.62,45.69,28.18,27.50,26.66,4.43,1420.00,1463.00,5,2022_10_17-Landsat9
COPERNICUS/S2_SR_HARMONIZED/20221017T105041_20221017T105314_T31TCH,2022-10-17,2022-10-17,SENTINEL_2,71.54,45.67,27.56,26.66,25.78,4.34,1411.00,1495.00,5,2022_10_17-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221019T103949_20221019T104240_T31TCH,2022-10-19,2022-10-19,SENTINEL_2,100.00,45.67,27.56,26.67,25.78,17.54,1427.00,1495.00,5,2022_10_19-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221022T105009_20221022T105642_T31TCH,2022-10-22,2022-10-22,SENTINEL_2,94.60,91.42,72.88,71.59,66.94,35.06,1771.00,2019.00,5,2022_10_22-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221024T104121_20221024T104234_T31TCH,2022-10-24,2022-10-24,SENTINEL_2,96.77,25.17,15.90,15.49,15.47,13.12,1467.00,1479.00,5,2022_10_24-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20221025,2022-10-25,2022-10-25,LANDSAT_8,25.52,25.28,17.49,17.05,17.01,14.60,1491.00,1495.00,5,2022_10_25-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20221027T105141_20221027T105417_T31TCH,2022-10-27,2022-10-27,SENTINEL_2,100.00,25.19,15.86,15.45,15.41,2.91,1483.00,1495.00,5,2022_10_27-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221029T104049_20221029T104649_T31TCH,2022-10-29,2022-10-29,SENTINEL_2,92.77,11.61,0.98,0.98,0.98,0.98,,,0,2022_10_29-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221101T105109_20221101T105847_T31TCH,2022-11-01,2022-11-01,SENTINEL_2,11.80,11.50,0.96,0.96,0.96,0.96,,,0,2022_11_01-Sentinel2
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20221102,2022-11-02,2022-11-02,LANDSAT_9,88.60,11.51,1.12,1.04,1.04,0.48,1639.00,1639.00,2,2022_11_02-Landsat9
COPERNICUS/S2_SR_HARMONIZED/20221103T104221_20221103T104333_T31TCH,2022-11-03,2022-11-03,SENTINEL_2,99.80,11.50,0.96,0.96,0.96,0.96,,,0,2022_11_03-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221106T105241_20221106T105515_T31TCH,2022-11-06,2022-11-06,SENTINEL_2,0.90,0.90,0.90,0.90,0.90,0.90,,,0,2022_11_06-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221108T104149_20221108T104827_T31TCH,2022-11-08,2022-11-08,SENTINEL_2,20.65,0.18,0.18,0.18,0.18,0.18,,,0,2022_11_08-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20221110,2022-11-10,2022-11-10,LANDSAT_8,16.14,3.55,0.21,0.21,0.21,0.21,,,0,2022_11_10-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20221111T105209_20221111T105204_T31TCH,2022-11-11,2022-11-11,SENTINEL_2,29.64,0.00,0.00,0.00,0.00,0.00,,,0,2022_11_11-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221113T104311_20221113T104423_T31TCH,2022-11-13,2022-11-13,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2022_11_13-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221116T105321_20221116T105603_T31TCH,2022-11-16,2022-11-16,SENTINEL_2,13.30,1.69,0.18,0.18,0.18,0.18,,,0,2022_11_16-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221118T104229_20221118T104231_T31TCH,2022-11-18,2022-11-18,SENTINEL_2,45.85,1.69,0.18,0.18,0.18,0.18,,,0,2022_11_18-Sentinel2
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20221118,2022-11-18,2022-11-18,LANDSAT_9,37.09,1.68,0.24,0.24,0.24,0.24,,,0,2022_11_18-Landsat9
COPERNICUS/S2_SR_HARMONIZED/20221121T105249_20221121T105248_T31TCH,2022-11-21,2022-11-21,SENTINEL_2,78.54,31.95,12.10,10.24,6.58,0.35,1987.00,1987.00,5,2022_11_21-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221123T104351_20221123T104502_T31TCH,2022-11-23,2022-11-23,SENTINEL_2,91.52,3.93,0.28,0.28,0.28,0.28,,,0,2022_11_23-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20221126,2022-11-26,2022-11-26,LANDSAT_8,7.17,2.82,0.37,0.37,0.37,0.37,,,0,2022_11_26-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20221126T105401_20221126T105640_T31TCH,2022-11-26,2022-11-26,SENTINEL_2,20.34,2.81,0.25,0.25,0.25,0.25,,,0,2022_11_26-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221128T104309_20221128T104309_T31TCH,2022-11-28,2022-11-28,SENTINEL_2,93.12,2.81,0.25,0.25,0.25,0.25,,,0,2022_11_28-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221201T105319_20221201T105320_T31TCH,2022-12-01,2022-12-01,SENTINEL_2,0.16,0.16,0.16,0.16,0.16,0.16,,,0,2022_12_01-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221203T104421_20221203T104538_T31TCH,2022-12-03,2022-12-03,SENTINEL_2,75.72,0.03,0.03,0.03,0.03,0.03,,,0,2022_12_03-Sentinel2
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20221204,2022-12-04,2022-12-04,LANDSAT_9,66.40,28.99,3.88,1.47,1.07,1.00,1783.00,1783.00,2,2022_12_04-Landsat9
COPERNICUS/S2_SR_HARMONIZED/20221206T105431_20221206T105712_T31TCH,2022-12-06,2022-12-06,SENTINEL_2,54.17,33.51,5.24,2.24,2.19,0.57,1799.00,1799.00,2,2022_12_06-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221208T104329_20221208T104332_T31TCH,2022-12-08,2022-12-08,SENTINEL_2,95.98,48.71,29.28,23.93,23.11,3.20,2007.00,2007.00,5,2022_12_08-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221211T105339_20221211T105341_T31TCH,2022-12-11,2022-12-11,SENTINEL_2,94.31,0.01,0.01,0.01,0.01,0.01,,,0,2022_12_11-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20221212,2022-12-12,2022-12-12,LANDSAT_8,0.01,0.01,0.01,0.01,0.01,0.01,,,0,2022_12_12-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20221213T104441_20221213T104612_T31TCH,2022-12-13,2022-12-13,SENTINEL_2,100.00,0.01,0.01,0.01,0.01,0.01,,,0,2022_12_13-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221216T105441_20221216T105741_T31TCH,2022-12-16,2022-12-16,SENTINEL_2,30.77,6.32,0.23,0.23,0.23,0.23,,,0,2022_12_16-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221218T104349_20221218T104346_T31TCH,2022-12-18,2022-12-18,SENTINEL_2,10.50,2.04,0.11,0.11,0.11,0.11,,,0,2022_12_18-Sentinel2
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20221220,2022-12-20,2022-12-20,LANDSAT_9,13.42,0.07,0.07,0.07,0.07,0.07,,,0,2022_12_20-Landsat9
COPERNICUS/S2_SR_HARMONIZED/20221221T105349_20221221T105352_T31TCH,2022-12-21,2022-12-21,SENTINEL_2,1.93,0.08,0.08,0.08,0.08,0.08,,,0,2022_12_21-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221223T104441_20221223T104619_T31TCH,2022-12-23,2022-12-23,SENTINEL_2,24.71,0.08,0.08,0.08,0.08,0.08,,,0,2022_12_23-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221226T105451_20221226T105746_T31TCH,2022-12-26,2022-12-26,SENTINEL_2,90.21,1.61,0.03,0.03,0.03,0.03,,,0,2022_12_26-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20221228T104349_20221228T104346_T31TCH,2022-12-28,2022-12-28,SENTINEL_2,7.29,1.61,0.03,0.03,0.03,0.03,,,0,2022_12_28-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20221228,2022-12-28,2022-12-28,LANDSAT_8,13.76,1.62,0.09,0.09,0.09,0.09,,,0,2022_12_28-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20221231T105349_20221231T105346_T31TCH,2022-12-31,2022-12-31,SENTINEL_2,37.73,3.50,0.04,0.04,0.04,0.04,,,0,2022_12_31-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20230102T104441_20230102T104606_T31TCH,2023-01-02,2023-01-02,SENTINEL_2,100.00,0.00,0.00,0.00,0.00,0.00,,,0,2023_01_02-Sentinel2
