ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
COPERNICUS/S2_SR_HARMONIZED/20171003T105021_20171003T105856_T31TCH,2017-10-03,2017-10-03,SENTINEL_2,2.57,2.57,0.10,0.10,0.10,0.10,,,0,2017_10_03-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171010T104021_20171010T104021_T31TCH,2017-10-10,2017-10-10,SENTINEL_2,7.94,0.00,0.00,0.00,0.00,0.00,,,0,2017_10_10-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20171011,2017-10-11,2017-10-11,LANDSAT_8,0.05,0.05,0.05,0.05,0.05,0.05,,,0,2017_10_11-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20171013T105031_20171013T105315_T31TCH,2017-10-13,2017-10-13,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2017_10_13-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171020T104051_20171020T104323_T31TCH,2017-10-20,2017-10-20,SENTINEL_2,45.86,24.57,4.92,3.88,2.54,0.12,1895.00,1911.00,1,2017_10_20-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171023T105111_20171023T105154_T31TCH,2017-10-23,2017-10-23,SENTINEL_2,39.90,0.00,0.00,0.00,0.00,0.00,,,0,2017_10_23-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20171027,2017-10-27,2017-10-27,LANDSAT_8,0.04,0.04,0.04,0.04,0.04,0.04,,,0,2017_10_27-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20171030T104151_20171030T104754_T31TCH,2017-10-30,2017-10-30,SENTINEL_2,0.46,0.46,0.46,0.46,0.46,0.46,,,0,2017_10_30-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171102T105211_20171102T105210_T31TCH,2017-11-02,2017-11-02,SENTINEL_2,100.00,0.46,0.46,0.46,0.46,0.46,,,0,2017_11_02-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171109T104241_20171109T104505_T31TCH,2017-11-09,2017-11-09,SENTINEL_2,88.89,0.00,0.00,0.00,0.00,0.00,,,0,2017_11_09-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171112T105301_20171112T105302_T31TCH,2017-11-12,2017-11-12,SENTINEL_2,0.02,0.02,0.02,0.02,0.02,0.02,,,0,2017_11_12-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20171112,2017-11-12,2017-11-12,LANDSAT_8,3.73,0.00,0.00,0.00,0.00,0.00,,,0,2017_11_12-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20171119T104331_20171119T104806_T31TCH,2017-11-19,2017-11-19,SENTINEL_2,0.01,0.01,0.01,0.01,0.01,0.01,,,0,2017_11_19-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20171128,2017-11-28,2017-11-28,LANDSAT_8,13.96,8.30,0.50,0.50,0.50,0.50,,,0,2017_11_28-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20171129T104401_20171129T104402_T31TCH,2017-11-29,2017-11-29,SENTINEL_2,70.24,8.30,0.16,0.16,0.16,0.16,,,0,2017_11_29-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171202T105421_20171202T105415_T31TCH,2017-12-02,2017-12-02,SENTINEL_2,73.22,8.30,0.16,0.16,0.16,0.16,,,0,2017_12_02-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20171209T104431_20171209T104426_T31TCH,2017-12-09,2017-12-09,SENTINEL_2,6.09,3.77,0.13,0.13,0.13,0.13,,,0,2017_12_09-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20171214,2017-12-14,2017-12-14,LANDSAT_8,75.81,2.88,0.09,0.09,0.09,0.09,,,0,2017_12_14-Landsat8
