ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description,Error
COPERNICUS/S2_SR_HARMONIZED/20211002T104901_20211002T105424_T31TCH,2021-10-02,2021-10-02,SENTINEL_2,88.31,0.25,0.25,0.25,0.25,0.25,,,0.00,2021_10_02-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211004T103809_20211004T104618_T31TCH,2021-10-04,2021-10-04,SENTINEL_2,1.16,0.25,0.25,0.25,0.25,0.25,,,0.00,2021_10_04-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20211006,2021-10-06,2021-10-06,LANDSAT_8,37.30,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_06-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20211007T104829_20211007T105534_T31TCH,2021-10-07,2021-10-07,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_07-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211009T103941_20211009T104350_T31TCH,2021-10-09,2021-10-09,SENTINEL_2,0.23,0.23,0.23,0.23,0.23,0.23,,,0.00,2021_10_09-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211012T105011_20211012T105447_T31TCH,2021-10-12,2021-10-12,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_12-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211014T103919_20211014T104912_T31TCH,2021-10-14,2021-10-14,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_14-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211017T104939_20211017T104941_T31TCH,2021-10-17,2021-10-17,SENTINEL_2,10.48,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_17-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211019T104051_20211019T104645_T31TCH,2021-10-19,2021-10-19,SENTINEL_2,13.30,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_19-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211022T105111_20211022T105446_T31TCH,2021-10-22,2021-10-22,SENTINEL_2,4.91,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_22-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20211022,2021-10-22,2021-10-22,LANDSAT_8,5.01,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_22-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20211024T104029_20211024T104907_T31TCH,2021-10-24,2021-10-24,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_24-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211027T105049_20211027T105044_T31TCH,2021-10-27,2021-10-27,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_27-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211029T104151_20211029T104442_T31TCH,2021-10-29,2021-10-29,SENTINEL_2,100.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_10_29-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211101T105211_20211101T105445_T31TCH,2021-11-01,2021-11-01,SENTINEL_2,55.87,31.65,6.80,6.45,2.16,0.92,2227.00,2227.00,2.00,2021_11_01-Sentinel2,
