ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
COPERNICUS/S2_SR_HARMONIZED/20181003T105019_20181003T105619_T31TCH,2018-10-03,2018-10-03,SENTINEL_2,7.84,0.00,0.00,0.00,0.00,0.00,,,0,2018_10_03-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181005T104021_20181005T104840_T31TCH,2018-10-05,2018-10-05,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2018_10_05-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181008T105021_20181008T105023_T31TCH,2018-10-08,2018-10-08,SENTINEL_2,75.65,0.00,0.00,0.00,0.00,0.00,,,0,2018_10_08-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181010T104019_20181010T104018_T31TCH,2018-10-10,2018-10-10,SENTINEL_2,98.43,7.83,0.20,0.20,0.20,0.20,,,0,2018_10_10-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181013T105029_20181013T105334_T31TCH,2018-10-13,2018-10-13,SENTINEL_2,10.28,9.81,0.49,0.49,0.49,0.49,,,0,2018_10_13-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20181014,2018-10-14,2018-10-14,LANDSAT_8,97.88,9.79,0.63,0.63,0.63,0.63,,,0,2018_10_14-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20181015T104021_20181015T104019_T31TCH,2018-10-15,2018-10-15,SENTINEL_2,99.80,9.81,0.49,0.49,0.49,0.49,,,0,2018_10_15-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181018T105031_20181018T105349_T31TCH,2018-10-18,2018-10-18,SENTINEL_2,98.17,64.29,30.56,28.02,22.76,1.98,2007.00,2039.00,5,2018_10_18-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181020T104049_20181020T104044_T31TCH,2018-10-20,2018-10-20,SENTINEL_2,66.03,64.29,30.56,28.03,22.76,0.00,2007.00,2039.00,3,2018_10_20-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181025T104121_20181025T104115_T31TCH,2018-10-25,2018-10-25,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2018_10_25-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181028T105141_20181028T105138_T31TCH,2018-10-28,2018-10-28,SENTINEL_2,100.00,27.00,17.38,17.05,17.05,17.05,1891.00,1891.00,5,2018_10_28-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181030T104149_20181030T104431_T31TCH,2018-10-30,2018-10-30,SENTINEL_2,95.45,27.00,17.38,17.05,17.05,6.74,1891.00,1891.00,5,2018_10_30-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20181030,2018-10-30,2018-10-30,LANDSAT_8,27.02,27.02,17.61,17.27,17.27,6.80,1899.00,1891.00,5,2018_10_30-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20181102T105209_20181102T105345_T31TCH,2018-11-02,2018-11-02,SENTINEL_2,81.25,8.30,0.78,0.78,0.78,0.78,,,0,2018_11_02-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181104T104211_20181104T104426_T31TCH,2018-11-04,2018-11-04,SENTINEL_2,9.78,8.37,0.78,0.78,0.78,0.78,,,0,2018_11_04-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181107T105231_20181107T105655_T31TCH,2018-11-07,2018-11-07,SENTINEL_2,97.80,4.89,0.16,0.16,0.16,0.16,,,0,2018_11_07-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181109T104239_20181109T104533_T31TCH,2018-11-09,2018-11-09,SENTINEL_2,33.76,23.10,4.84,1.84,0.94,0.94,2103.00,2103.00,0,2018_11_09-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181112T105259_20181112T105301_T31TCH,2018-11-12,2018-11-12,SENTINEL_2,82.79,10.19,1.69,0.66,0.66,0.66,2199.00,,0,2018_11_12-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181114T104301_20181114T104403_T31TCH,2018-11-14,2018-11-14,SENTINEL_2,26.12,3.35,1.31,0.75,0.75,0.75,2103.00,,0,2018_11_14-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20181115,2018-11-15,2018-11-15,LANDSAT_8,10.74,2.83,0.54,0.54,0.54,0.54,,,0,2018_11_15-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20181117T105321_20181117T105429_T31TCH,2018-11-17,2018-11-17,SENTINEL_2,50.72,0.50,0.50,0.50,0.50,0.50,,,0,2018_11_17-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181119T104329_20181119T104326_T31TCH,2018-11-19,2018-11-19,SENTINEL_2,4.53,3.01,0.03,0.03,0.03,0.03,,,0,2018_11_19-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181122T105349_20181122T105644_T31TCH,2018-11-22,2018-11-22,SENTINEL_2,80.13,0.00,0.00,0.00,0.00,0.00,,,0,2018_11_22-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181124T104341_20181124T104422_T31TCH,2018-11-24,2018-11-24,SENTINEL_2,1.34,0.00,0.00,0.00,0.00,0.00,,,0,2018_11_24-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181127T105401_20181127T105429_T31TCH,2018-11-27,2018-11-27,SENTINEL_2,0.01,0.01,0.01,0.01,0.01,0.01,,,0,2018_11_27-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181129T104359_20181129T104632_T31TCH,2018-11-29,2018-11-29,SENTINEL_2,35.03,0.00,0.00,0.00,0.00,0.00,,,0,2018_11_29-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20181201,2018-12-01,2018-12-01,LANDSAT_8,37.60,10.14,0.87,0.87,0.87,0.87,,,0,2018_12_01-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20181202T105419_20181202T105516_T31TCH,2018-12-02,2018-12-02,SENTINEL_2,36.27,11.94,1.22,1.17,0.47,0.47,2071.00,2071.00,0,2018_12_02-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181204T104411_20181204T104422_T31TCH,2018-12-04,2018-12-04,SENTINEL_2,52.48,11.94,1.22,1.19,0.48,0.48,2119.00,2119.00,0,2018_12_04-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181207T105421_20181207T105427_T31TCH,2018-12-07,2018-12-07,SENTINEL_2,0.02,0.02,0.02,0.02,0.02,0.02,,,0,2018_12_07-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181209T104429_20181209T104725_T31TCH,2018-12-09,2018-12-09,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2018_12_09-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20181212T105439_20181212T105647_T31TCH,2018-12-12,2018-12-12,SENTINEL_2,45.75,0.00,0.00,0.00,0.00,0.00,,,0,2018_12_12-Sentinel2
