ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20191001,2019-10-01,2019-10-01,LANDSAT_8,8.69,0.00,0.00,0.00,0.00,0.00,,,0,2019_10_01-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20191003T105031_20191003T105825_T31TCH,2019-10-03,2019-10-03,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2019_10_03-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191005T104029_20191005T104345_T31TCH,2019-10-05,2019-10-05,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2019_10_05-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191008T105029_20191008T105335_T31TCH,2019-10-08,2019-10-08,SENTINEL_2,1.04,0.00,0.00,0.00,0.00,0.00,,,0,2019_10_08-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191010T104031_20191010T104434_T31TCH,2019-10-10,2019-10-10,SENTINEL_2,0.40,0.40,0.40,0.40,0.40,0.40,,,0,2019_10_10-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191013T105031_20191013T105439_T31TCH,2019-10-13,2019-10-13,SENTINEL_2,6.94,0.00,0.00,0.00,0.00,0.00,,,0,2019_10_13-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191015T104029_20191015T104023_T31TCH,2019-10-15,2019-10-15,SENTINEL_2,47.79,2.53,0.05,0.05,0.05,0.05,,,0,2019_10_15-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20191017,2019-10-17,2019-10-17,LANDSAT_8,99.44,47.31,12.28,11.20,2.67,0.14,2503.00,2503.00,2,2019_10_17-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20191018T105039_20191018T105338_T31TCH,2019-10-18,2019-10-18,SENTINEL_2,100.00,99.35,97.31,96.06,96.06,3.42,1122.00,1459.00,5,2019_10_18-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191020T104051_20191020T104433_T31TCH,2019-10-20,2019-10-20,SENTINEL_2,99.92,99.35,97.31,96.06,96.06,90.63,1122.00,1459.00,5,2019_10_20-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191023T105111_20191023T105601_T31TCH,2019-10-23,2019-10-23,SENTINEL_2,90.67,0.07,0.07,0.07,0.07,0.07,,,0,2019_10_23-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191025T104029_20191025T104457_T31TCH,2019-10-25,2019-10-25,SENTINEL_2,0.07,0.07,0.07,0.07,0.07,0.07,,,0,2019_10_25-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191028T105049_20191028T105753_T31TCH,2019-10-28,2019-10-28,SENTINEL_2,95.39,0.01,0.01,0.01,0.01,0.01,,,0,2019_10_28-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191030T104151_20191030T104151_T31TCH,2019-10-30,2019-10-30,SENTINEL_2,54.71,50.35,15.23,14.31,9.16,4.88,1959.00,2198.00,5,2019_10_30-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191102T105211_20191102T105441_T31TCH,2019-11-02,2019-11-02,SENTINEL_2,98.18,88.34,57.26,48.49,40.77,26.64,2055.00,2103.00,5,2019_11_02-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20191102,2019-11-02,2019-11-02,LANDSAT_8,97.35,88.34,58.75,50.20,42.35,27.82,2067.00,2115.00,5,2019_11_02-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20191104T104119_20191104T104122_T31TCH,2019-11-04,2019-11-04,SENTINEL_2,92.43,88.34,57.26,48.49,40.77,19.49,2055.00,2103.00,5,2019_11_04-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191107T105139_20191107T105655_T31TCH,2019-11-07,2019-11-07,SENTINEL_2,100.00,2.13,0.08,0.08,0.08,0.08,,,0,2019_11_07-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191109T104251_20191109T104433_T31TCH,2019-11-09,2019-11-09,SENTINEL_2,2.21,1.01,0.00,0.00,0.00,0.00,,,0,2019_11_09-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191112T105301_20191112T105437_T31TCH,2019-11-12,2019-11-12,SENTINEL_2,42.64,1.01,0.00,0.00,0.00,0.00,,,0,2019_11_12-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191114T104209_20191114T104212_T31TCH,2019-11-14,2019-11-14,SENTINEL_2,100.00,4.59,0.07,0.07,0.07,0.07,,,0,2019_11_14-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191117T105229_20191117T105529_T31TCH,2019-11-17,2019-11-17,SENTINEL_2,12.82,0.01,0.01,0.01,0.01,0.01,,,0,2019_11_17-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20191118,2019-11-18,2019-11-18,LANDSAT_8,63.91,0.01,0.01,0.01,0.01,0.01,,,0,2019_11_18-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20191119T104331_20191119T104431_T31TCH,2019-11-19,2019-11-19,SENTINEL_2,0.17,0.17,0.17,0.17,0.17,0.17,,,0,2019_11_19-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191122T105351_20191122T105436_T31TCH,2019-11-22,2019-11-22,SENTINEL_2,99.01,0.04,0.04,0.04,0.04,0.04,,,0,2019_11_22-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191124T104329_20191124T104735_T31TCH,2019-11-24,2019-11-24,SENTINEL_2,8.32,1.69,0.01,0.01,0.01,0.01,,,0,2019_11_24-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191127T105309_20191127T105433_T31TCH,2019-11-27,2019-11-27,SENTINEL_2,21.18,0.09,0.09,0.09,0.09,0.09,,,0,2019_11_27-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191129T104411_20191129T104430_T31TCH,2019-11-29,2019-11-29,SENTINEL_2,2.08,0.57,0.57,0.57,0.57,0.57,,,0,2019_11_29-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191202T105421_20191202T105436_T31TCH,2019-12-02,2019-12-02,SENTINEL_2,4.77,1.77,0.21,0.21,0.21,0.21,,,0,2019_12_02-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20191204,2019-12-04,2019-12-04,LANDSAT_8,27.47,1.76,0.24,0.24,0.24,0.24,,,0,2019_12_04-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20191204T104319_20191204T104815_T31TCH,2019-12-04,2019-12-04,SENTINEL_2,100.00,1.77,0.21,0.21,0.21,0.21,,,0,2019_12_04-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191207T105329_20191207T105822_T31TCH,2019-12-07,2019-12-07,SENTINEL_2,0.01,0.01,0.01,0.01,0.01,0.01,,,0,2019_12_07-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191209T104431_20191209T104427_T31TCH,2019-12-09,2019-12-09,SENTINEL_2,74.20,0.01,0.01,0.01,0.01,0.01,,,0,2019_12_09-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191212T105441_20191212T105437_T31TCH,2019-12-12,2019-12-12,SENTINEL_2,99.33,1.38,0.10,0.10,0.10,0.10,,,0,2019_12_12-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191214T104339_20191214T104855_T31TCH,2019-12-14,2019-12-14,SENTINEL_2,1.88,1.29,0.03,0.03,0.03,0.03,,,0,2019_12_14-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191217T105349_20191217T105345_T31TCH,2019-12-17,2019-12-17,SENTINEL_2,58.00,1.28,0.03,0.03,0.03,0.03,,,0,2019_12_17-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191219T104441_20191219T104438_T31TCH,2019-12-19,2019-12-19,SENTINEL_2,90.92,21.78,2.17,1.39,0.06,0.06,1975.00,1975.00,0,2019_12_19-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191222T105441_20191222T105443_T31TCH,2019-12-22,2019-12-22,SENTINEL_2,33.78,16.88,1.94,1.88,0.14,0.14,1975.00,1975.00,0,2019_12_22-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191224T104349_20191224T104343_T31TCH,2019-12-24,2019-12-24,SENTINEL_2,39.61,0.05,0.05,0.05,0.05,0.05,,,0,2019_12_24-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191227T105349_20191227T105429_T31TCH,2019-12-27,2019-12-27,SENTINEL_2,0.46,0.46,0.46,0.46,0.46,0.46,,,0,2019_12_27-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20191229T104441_20191229T104436_T31TCH,2019-12-29,2019-12-29,SENTINEL_2,47.53,0.04,0.04,0.04,0.04,0.04,,,0,2019_12_29-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200101T105441_20200101T105437_T31TCH,2020-01-01,2020-01-01,SENTINEL_2,0.31,0.31,0.31,0.31,0.31,0.31,,,0,2020_01_01-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200103T104339_20200103T104837_T31TCH,2020-01-03,2020-01-03,SENTINEL_2,98.43,0.05,0.05,0.05,0.05,0.05,,,0,2020_01_03-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20200105,2020-01-05,2020-01-05,LANDSAT_8,2.69,0.01,0.01,0.01,0.01,0.01,,,0,2020_01_05-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20200106T105339_20200106T105431_T31TCH,2020-01-06,2020-01-06,SENTINEL_2,0.04,0.04,0.04,0.04,0.04,0.04,,,0,2020_01_06-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200108T104421_20200108T104424_T31TCH,2020-01-08,2020-01-08,SENTINEL_2,25.46,0.01,0.01,0.01,0.01,0.01,,,0,2020_01_08-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200111T105421_20200111T105430_T31TCH,2020-01-11,2020-01-11,SENTINEL_2,2.61,0.46,0.46,0.46,0.46,0.46,,,0,2020_01_11-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200113T104309_20200113T104813_T31TCH,2020-01-13,2020-01-13,SENTINEL_2,93.70,0.08,0.08,0.08,0.08,0.08,,,0,2020_01_13-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200116T105309_20200116T105304_T31TCH,2020-01-16,2020-01-16,SENTINEL_2,0.40,0.40,0.40,0.40,0.40,0.40,,,0,2020_01_16-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200118T104351_20200118T104425_T31TCH,2020-01-18,2020-01-18,SENTINEL_2,41.92,0.16,0.16,0.16,0.16,0.16,,,0,2020_01_18-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20200121,2020-01-21,2020-01-21,LANDSAT_8,88.85,69.04,36.22,23.49,23.44,11.31,1719.00,1767.00,5,2020_01_21-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20200121T105341_20200121T105429_T31TCH,2020-01-21,2020-01-21,SENTINEL_2,100.00,69.04,35.31,22.72,22.67,10.89,1719.00,1767.00,5,2020_01_21-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200123T104229_20200123T104739_T31TCH,2020-01-23,2020-01-23,SENTINEL_2,77.48,69.04,35.31,22.72,22.67,2.04,1719.00,1767.00,5,2020_01_23-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200126T105229_20200126T105625_T31TCH,2020-01-26,2020-01-26,SENTINEL_2,86.48,5.27,0.68,0.68,0.68,0.68,,,0,2020_01_26-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200128T104301_20200128T104423_T31TCH,2020-01-28,2020-01-28,SENTINEL_2,7.59,5.79,0.50,0.50,0.50,0.50,,,0,2020_01_28-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200131T105251_20200131T105427_T31TCH,2020-01-31,2020-01-31,SENTINEL_2,87.87,2.77,0.09,0.09,0.09,0.09,,,0,2020_01_31-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200202T104149_20200202T104835_T31TCH,2020-02-02,2020-02-02,SENTINEL_2,62.71,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_02-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200205T105129_20200205T105627_T31TCH,2020-02-05,2020-02-05,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_05-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20200206,2020-02-06,2020-02-06,LANDSAT_8,3.66,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_06-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20200207T104211_20200207T104422_T31TCH,2020-02-07,2020-02-07,SENTINEL_2,98.31,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_07-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200210T105201_20200210T105427_T31TCH,2020-02-10,2020-02-10,SENTINEL_2,47.04,35.79,18.01,17.86,10.31,0.43,2071.00,2071.00,2,2020_02_10-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200212T104049_20200212T104614_T31TCH,2020-02-12,2020-02-12,SENTINEL_2,41.35,0.45,0.45,0.45,0.45,0.45,,,0,2020_02_12-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200215T105029_20200215T105845_T31TCH,2020-02-15,2020-02-15,SENTINEL_2,0.50,0.50,0.50,0.50,0.50,0.50,,,0,2020_02_15-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200217T104111_20200217T104424_T31TCH,2020-02-17,2020-02-17,SENTINEL_2,35.65,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_17-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200220T105051_20200220T105429_T31TCH,2020-02-20,2020-02-20,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_20-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20200222T103939_20200222T104314_T31TCH,2020-02-22,2020-02-22,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_22-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20200222,2020-02-22,2020-02-22,LANDSAT_8,4.23,0.00,0.00,0.00,0.00,0.00,,,0,2020_02_22-Landsat8
