ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
COPERNICUS/S2_SR_HARMONIZED/20241001T104759_20241001T105004_T31TCH,2024-10-01,2024-10-01,SENTINEL_2,100.00,12.40,3.32,3.26,3.26,0.03,1027.00,1298.00,2,2024_10_01-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241003T103901_20241003T104015_T31TCH,2024-10-03,2024-10-03,SENTINEL_2,12.40,12.40,3.32,3.26,3.26,0.00,1027.00,1298.00,3,2024_10_03-Sentinel2
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20241006,2024-10-06,2024-10-06,LANDSAT_9,99.19,30.86,7.55,7.30,3.66,0.08,2200.00,2344.00,2,2024_10_06-Landsat9
COPERNICUS/S2_SR_HARMONIZED/20241006T104921_20241006T105155_T31TCH,2024-10-06,2024-10-06,SENTINEL_2,98.49,30.86,7.04,6.71,4.83,0.09,2071.00,2054.00,2,2024_10_06-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241008T103829_20241008T104519_T31TCH,2024-10-08,2024-10-08,SENTINEL_2,31.64,30.86,7.04,6.79,3.99,0.34,2102.00,2231.00,5,2024_10_08-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241011T104859_20241011T104900_T31TCH,2024-10-11,2024-10-11,SENTINEL_2,44.26,0.00,0.00,0.00,0.00,0.00,,,0,2024_10_11-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241013T104001_20241013T104111_T31TCH,2024-10-13,2024-10-13,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2024_10_13-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20241014,2024-10-14,2024-10-14,LANDSAT_8,99.21,0.00,0.00,0.00,0.00,0.00,,,0,2024_10_14-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20241016T105031_20241016T105303_T31TCH,2024-10-16,2024-10-16,SENTINEL_2,100.00,88.00,68.04,56.76,54.62,42.32,1891.00,1947.00,5,2024_10_16-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241018T103949_20241018T103945_T31TCH,2024-10-18,2024-10-18,SENTINEL_2,88.75,1.90,0.06,0.06,0.06,0.06,,,0,2024_10_18-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241021T105009_20241021T105637_T31TCH,2024-10-21,2024-10-21,SENTINEL_2,1.90,1.89,0.06,0.06,0.06,0.06,,,0,2024_10_21-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241023T104111_20241023T104227_T31TCH,2024-10-23,2024-10-23,SENTINEL_2,74.78,1.89,0.06,0.06,0.06,0.06,,,0,2024_10_23-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241026T105131_20241026T105409_T31TCH,2024-10-26,2024-10-26,SENTINEL_2,100.00,74.78,44.02,42.31,35.23,4.07,2163.00,2259.00,5,2024_10_26-Sentinel2
COPERNICUS/S2_SR_HARMONIZED/20241028T104049_20241028T104438_T31TCH,2024-10-28,2024-10-28,SENTINEL_2,100.00,90.15,62.19,52.18,48.55,8.89,1799.00,1943.00,5,2024_10_28-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20241030,2024-10-30,2024-10-30,LANDSAT_8,90.15,89.53,60.09,50.29,45.10,6.10,1815.00,1943.00,5,2024_10_30-Landsat8
